wl,n
3.1291,5.456
3.1395,5.454
3.1490,5.452
3.1596,5.450
3.1693,5.449
3.1799,5.447
3.1897,5.446
3.1996,5.444
3.2095,5.442
3.2194,5.441
3.2295,5.439
3.2396,5.438
3.2497,5.436
3.2599,5.435
3.2692,5.433
3.2795,5.432
3.2899,5.430
3.2993,5.429
3.3099,5.427
3.3194,5.426
3.3290,5.425
3.3397,5.423
3.3494,5.422
3.3592,5.421
3.3690,5.419
3.3800,5.418
3.3899,5.417
3.3999,5.415
3.4089,5.414
3.4190,5.413
3.4292,5.412
3.4394,5.410
3.4497,5.409
3.4589,5.408
3.4693,5.407
3.4798,5.406
3.4892,5.405
3.4998,5.403
3.5092,5.402
3.5200,5.401
3.5295,5.400
3.5392,5.399
3.5489,5.398
3.5598,5.397
3.5696,5.396
3.5795,5.395
3.5894,5.394
3.5994,5.392
3.6094,5.391
3.6195,5.390
3.6296,5.389
3.6398,5.388
3.6488,5.387
3.6591,5.386
3.6694,5.385
3.6799,5.384
3.6890,5.384
3.6995,5.383
3.7088,5.382
3.7194,5.381
3.7288,5.380
3.7396,5.379
3.7490,5.378
3.7599,5.377
3.7695,5.376
3.7791,5.375
3.7888,5.375
3.7999,5.374
3.8096,5.373
3.8195,5.372
3.8293,5.371
3.8393,5.370
3.8492,5.369
3.8593,5.369
3.8693,5.368
3.8795,5.367
3.8897,5.366
3.8999,5.365
3.9087,5.365
3.9191,5.364
3.9294,5.363
3.9399,5.362
3.9489,5.362
3.9595,5.361
3.9685,5.360
3.9792,5.359
3.9899,5.359
3.9992,5.358
4.0100,5.357
4.0193,5.357
4.0287,5.356
4.0397,5.355
4.0491,5.354
4.0586,5.354
4.0698,5.353
4.0794,5.352
4.0890,5.352
4.0987,5.351
4.1085,5.350
4.1199,5.350
4.1298,5.349
4.1396,5.348
4.1496,5.348
4.1596,5.347
4.1696,5.347
4.1797,5.346
4.1898,5.345
4.1983,5.345
4.2085,5.344
4.2188,5.344
4.2291,5.343
4.2395,5.342
4.2499,5.342
4.2587,5.341
4.2692,5.341
4.2797,5.340
4.2886,5.339
4.2993,5.339
4.3100,5.338
4.3190,5.338
4.3298,5.337
4.3388,5.337
4.3498,5.336
4.3589,5.336
4.3699,5.335
4.3791,5.335
4.3884,5.334
4.3996,5.333
4.4089,5.333
4.4183,5.333
4.4297,5.332
4.4391,5.331
4.4487,5.331
4.4582,5.331
4.4697,5.330
4.4794,5.329
4.4891,5.329
4.4988,5.329
4.5086,5.328
4.5184,5.328
4.5283,5.327
4.5382,5.327
4.5482,5.326
4.5582,5.326
4.5682,5.325
4.5783,5.325
4.5884,5.324
4.5986,5.324
4.6088,5.323
4.6191,5.323
4.6294,5.323
4.6397,5.322
4.6481,5.322
4.6585,5.321
4.6690,5.321
4.6795,5.320
4.6880,5.320
4.6986,5.320
4.7093,5.319
4.7200,5.319
4.7286,5.318
4.7394,5.318
4.7481,5.318
4.7590,5.317
4.7699,5.317
4.7787,5.316
4.7898,5.316
4.7986,5.316
4.8097,5.315
4.8187,5.315
4.8299,5.314
4.8389,5.314
4.8480,5.314
4.8593,5.313
4.8685,5.313
4.8799,5.313
4.8891,5.312
4.8984,5.312
4.9100,5.311
4.9193,5.311
4.9286,5.311
4.9380,5.310
4.9498,5.310
4.9593,5.310
4.9688,5.309
4.9783,5.309
4.9879,5.309
4.9999,5.308
5.0096,5.308
5.0193,5.308
5.0290,5.307
5.0388,5.307
5.0486,5.307
5.0584,5.306
5.0683,5.306
5.0783,5.306
5.0882,5.305
5.0982,5.305
5.1083,5.305
5.1184,5.304
5.1285,5.304
5.1387,5.304
5.1489,5.303
5.1591,5.303
5.1694,5.303
5.1797,5.303
5.1875,5.302
5.1979,5.302
5.2083,5.302
5.2188,5.301
5.2294,5.301
5.2399,5.301
5.2479,5.301
5.2585,5.300
5.2692,5.300
5.2799,5.300
5.2880,5.299
5.2988,5.299
5.3097,5.299
