wl,n
6.3,2.9592
6.31,2.9655
6.32,2.9716
6.33,2.9777
6.34,2.9836
6.35,2.9894
6.36,2.9952
6.37,3.001
6.38,3.0069
6.39,3.0128
6.4,3.0189
6.41,3.0252
6.42,3.0317
6.43,3.0383
6.44,3.0451
6.45,3.052
6.46,3.0589
6.47,3.0658
6.48,3.0727
6.49,3.0794
6.5,3.086
6.51,3.0924
6.52,3.0986
6.53,3.1047
6.54,3.1107
6.55,3.1167
6.56,3.1226
6.57,3.1284
6.58,3.1343
6.59,3.1403
6.6,3.1462
6.61,3.1522
6.62,3.1582
6.63,3.1641
6.64,3.1701
6.65,3.1761
6.66,3.1821
6.67,3.1882
6.68,3.1943
6.69,3.2005
6.7,3.2068
6.71,3.2132
6.72,3.2197
6.73,3.2262
6.74,3.2328
6.75,3.2395
6.76,3.2462
6.77,3.2529
6.78,3.2597
6.79,3.2665
6.8,3.2733
6.81,3.2802
6.82,3.2872
6.83,3.2942
6.84,3.3012
6.85,3.3082
6.86,3.3151
6.87,3.322
6.88,3.3287
6.89,3.3353
6.9,3.3417
6.91,3.3479
6.92,3.354
6.93,3.3601
6.94,3.3661
6.95,3.3721
6.96,3.3781
6.97,3.3843
6.98,3.3907
6.99,3.3973
7,3.4041
7.01,3.411
7.02,3.4181
7.03,3.4253
7.04,3.4325
7.05,3.4397
7.06,3.4469
7.07,3.454
7.08,3.461
7.09,3.4678
7.1,3.4746
7.11,3.4813
7.12,3.488
7.13,3.4946
7.14,3.5013
7.15,3.508
7.16,3.5147
7.17,3.5214
7.18,3.5281
7.19,3.5349
7.2,3.5418
7.21,3.5487
7.22,3.5556
7.23,3.5625
7.24,3.5694
7.25,3.5762
7.26,3.583
7.27,3.5896
7.28,3.5961
7.29,3.6025
7.3,3.6087
7.31,3.6149
7.32,3.6209
7.33,3.627
7.34,3.633
7.35,3.6391
7.36,3.6453
7.37,3.6515
7.38,3.6579
7.39,3.6643
7.4,3.6709
7.41,3.6774
7.42,3.6841
7.43,3.6908
7.44,3.6974
7.45,3.7041
7.46,3.7108
7.47,3.7174
7.48,3.724
7.49,3.7305
7.5,3.737
7.51,3.7435
7.52,3.7499
7.53,3.7564
7.54,3.763
7.55,3.7695
7.56,3.7761
7.57,3.7828
7.58,3.7896
7.59,3.7965
7.6,3.8033
7.61,3.8103
7.62,3.8172
7.63,3.8241
7.64,3.8309
7.65,3.8377
7.66,3.8444
7.67,3.8509
7.68,3.8575
7.69,3.8639
7.7,3.8703
7.71,3.8767
7.72,3.8831
7.73,3.8895
7.74,3.8959
7.75,3.9024
7.76,3.9089
7.77,3.9155
7.78,3.9221
7.79,3.9287
7.8,3.9354
7.81,3.942
7.82,3.9487
7.83,3.9554
7.84,3.9622
7.85,3.9688
7.86,3.9755
7.87,3.9822
7.88,3.9888
7.89,3.9954
7.9,4.0021
7.91,4.0086
7.92,4.0152
7.93,4.0217
7.94,4.0281
7.95,4.0346
7.96,4.041
7.97,4.0474
7.98,4.0538
7.99,4.0602
8,4.0665
8.01,4.0729
8.02,4.0792
8.03,4.0855
8.04,4.0919
8.05,4.0982
8.06,4.1044
8.07,4.1106
8.08,4.1168
8.09,4.1231
8.1,4.1293
8.11,4.1356
8.12,4.1419
8.13,4.1484
8.14,4.1549
8.15,4.1615
8.16,4.1683
8.17,4.175
8.18,4.1819
8.19,4.1887
8.2,4.1956
8.21,4.2025
8.22,4.2093
8.23,4.2161
8.24,4.2229
8.25,4.2296
8.26,4.2364
8.27,4.2431
8.28,4.2499
8.29,4.2567
8.3,4.2635
8.31,4.2704
8.32,4.2772
8.33,4.2841
8.34,4.291
8.35,4.298
8.36,4.3051
8.37,4.3121
8.38,4.3192
8.39,4.3262
8.4,4.3332
8.41,4.3401
8.42,4.3469
8.43,4.3535
8.44,4.36
8.45,4.3665
8.46,4.3729
8.47,4.3792
8.48,4.3855
8.49,4.3917
8.5,4.3979
8.51,4.4041
8.52,4.4103
8.53,4.4164
8.54,4.4225
8.55,4.4285
8.56,4.4345
8.57,4.4405
8.58,4.4465
8.59,4.4525
8.6,4.4585
8.61,4.4646
8.62,4.4707
8.63,4.4769
8.64,4.483
8.65,4.4892
8.66,4.4953
8.67,4.5015
8.68,4.5078
8.69,4.514
8.7,4.5203
8.71,4.5267
8.72,4.5331
8.73,4.5395
8.74,4.546
8.75,4.5524
8.76,4.5589
8.77,4.5655
8.78,4.5722
8.79,4.5789
8.8,4.5858
8.81,4.5927
8.82,4.6
8.83,4.6074
8.84,4.615
8.85,4.6227
8.86,4.6304
8.87,4.6382
8.88,4.6459
8.89,4.6535
8.9,4.661
8.91,4.6683
8.92,4.6754
8.93,4.6824
8.94,4.6892
8.95,4.696
8.96,4.7028
8.97,4.7095
8.98,4.7161
8.99,4.7228
9,4.7295
9.01,4.7363
9.02,4.7432
9.03,4.7501
9.04,4.7571
9.05,4.7641
9.06,4.7712
9.07,4.7782
9.08,4.7852
9.09,4.7922
9.1,4.799
9.11,4.8057
9.12,4.8124
9.13,4.819
9.14,4.8256
9.15,4.832
9.16,4.8385
9.17,4.8449
9.18,4.8512
9.19,4.8576
9.2,4.8639
9.21,4.8703
9.22,4.8766
9.23,4.8829
9.24,4.8893
9.25,4.8957
9.26,4.9022
9.27,4.9086
9.28,4.9152
9.29,4.9217
9.3,4.9283
9.31,4.9348
9.32,4.9414
9.33,4.9479
9.34,4.9544
9.35,4.961
9.36,4.9675
9.37,4.974
9.38,4.9806
9.39,4.9872
9.4,4.9938
9.41,5.0004
9.42,5.0071
9.43,5.0138
9.44,5.0205
9.45,5.0273
9.46,5.0341
9.47,5.0411
9.48,5.048
9.49,5.0551
9.5,5.0622
9.51,5.0694
9.52,5.0767
9.53,5.084
9.54,5.0913
9.55,5.0985
9.56,5.1056
9.57,5.1126
9.58,5.1195
9.59,5.1262
9.6,5.133
9.61,5.1396
9.62,5.1463
9.63,5.1529
9.64,5.1596
9.65,5.1663
9.66,5.1731
9.67,5.1799
9.68,5.1868
9.69,5.1937
9.7,5.2007
9.71,5.2076
9.72,5.2145
9.73,5.2214
9.74,5.2283
9.75,5.2351
9.76,5.2418
9.77,5.2485
9.78,5.2551
9.79,5.2616
9.8,5.2681
9.81,5.2746
9.82,5.281
9.83,5.2874
9.84,5.2938
9.85,5.3002
9.86,5.3066
9.87,5.313
9.88,5.3194
9.89,5.3257
9.9,5.332
9.91,5.3383
9.92,5.3447
9.93,5.351
9.94,5.3575
9.95,5.3641
9.96,5.3708
9.97,5.3776
9.98,5.3845
9.99,5.3915
10,5.3986
10.01,5.4056
10.02,5.4126
10.03,5.4196
10.04,5.4264
10.05,5.4331
10.06,5.4397
10.07,5.4462
10.08,5.4527
10.09,5.4592
10.1,5.4656
10.11,5.472
10.12,5.4784
10.13,5.4848
10.14,5.4912
10.15,5.4975
10.16,5.5038
10.17,5.5099
10.18,5.516
10.19,5.522
10.2,5.528
10.21,5.534
10.22,5.54
10.23,5.5462
10.24,5.5525
10.25,5.559
10.26,5.5657
10.27,5.5725
10.28,5.5795
10.29,5.5866
10.3,5.5936
10.31,5.6007
10.32,5.6076
10.33,5.6144
10.34,5.621
10.35,5.6275
10.36,5.6339
10.37,5.6402
10.38,5.6464
10.39,5.6525
10.4,5.6586
10.41,5.6647
10.42,5.6707
10.43,5.6768
10.44,5.6828
10.45,5.6886
10.46,5.6944
10.47,5.7
10.48,5.7057
10.49,5.7113
10.5,5.7171
10.51,5.7229
10.52,5.7289
10.53,5.7351
10.54,5.7416
10.55,5.7484
10.56,5.7556
10.57,5.7629
10.58,5.7703
10.59,5.7778
10.6,5.7851
10.61,5.7923
10.62,5.7993
10.63,5.8059
10.64,5.8121
10.65,5.8181
10.66,5.8239
10.67,5.8295
10.68,5.8351
10.69,5.8406
10.7,5.8462
10.71,5.852
10.72,5.8579
10.73,5.8641
10.74,5.8706
10.75,5.8774
10.76,5.8843
10.77,5.8914
10.78,5.8985
10.79,5.9057
10.8,5.9127
10.81,5.9196
10.82,5.9261
10.83,5.9325
10.84,5.9386
10.85,5.9445
10.86,5.9503
10.87,5.956
10.88,5.9617
10.89,5.9673
10.9,5.9729
10.91,5.9786
10.92,5.9844
10.93,5.9902
10.94,5.996
10.95,6.0017
10.96,6.0075
10.97,6.0134
10.98,6.0195
10.99,6.0257
11,6.0322
11.01,6.0389
11.02,6.046
11.03,6.0536
11.04,6.0616
11.05,6.0698
11.06,6.0782
11.07,6.0866
11.08,6.0949
11.09,6.103
11.1,6.1108
11.11,6.1182
11.12,6.1252
11.13,6.132
11.14,6.1387
11.15,6.1452
11.16,6.1517
11.17,6.1582
11.18,6.1647
11.19,6.1712
11.2,6.1779
11.21,6.1847
11.22,6.1917
11.23,6.1987
11.24,6.2058
11.25,6.2129
11.26,6.2199
11.27,6.2268
11.28,6.2334
11.29,6.2399
11.3,6.2461
11.31,6.252
11.32,6.2576
11.33,6.2631
11.34,6.2684
11.35,6.2736
11.36,6.2789
11.37,6.2842
11.38,6.2895
11.39,6.2951
11.4,6.3009
11.41,6.3067
11.42,6.3127
11.43,6.3187
11.44,6.3248
11.45,6.331
11.46,6.3374
11.47,6.3438
11.48,6.3503
11.49,6.357
11.5,6.3638
11.51,6.3709
11.52,6.3782
11.53,6.3856
11.54,6.393
11.55,6.4005
11.56,6.4079
11.57,6.4152
11.58,6.4223
11.59,6.4292
11.6,6.436
11.61,6.4426
11.62,6.4491
11.63,6.4556
11.64,6.4619
11.65,6.4682
11.66,6.4745
11.67,6.4807
11.68,6.487
11.69,6.4933
11.7,6.4997
11.71,6.5062
11.72,6.5127
11.73,6.5193
11.74,6.5257
11.75,6.5321
11.76,6.5383
11.77,6.5444
11.78,6.5501
11.79,6.5555
11.8,6.5605
11.81,6.5653
11.82,6.5699
11.83,6.5744
11.84,6.579
11.85,6.5837
11.86,6.5887
11.87,6.5941
11.88,6.5999
11.89,6.6062
11.9,6.6131
11.91,6.6203
11.92,6.6278
11.93,6.6355
11.94,6.6431
11.95,6.6507
11.96,6.658
11.97,6.6649
11.98,6.6717
11.99,6.6783
12,6.6849
12.01,6.6914
12.02,6.6979
12.03,6.7043
12.04,6.7108
12.05,6.7172
12.06,6.7236
12.07,6.7299
12.08,6.7362
12.09,6.7423
12.1,6.7483
12.11,6.7542
12.12,6.7602
12.13,6.7662
12.14,6.7722
12.15,6.7784
12.16,6.7848
12.17,6.7914
12.18,6.7983
12.19,6.8055
12.2,6.8127
12.21,6.82
12.22,6.8272
12.23,6.8343
12.24,6.8412
12.25,6.8477
12.26,6.8538
12.27,6.8595
12.28,6.8648
12.29,6.8698
12.3,6.8747
12.31,6.8795
12.32,6.8844
12.33,6.8894
12.34,6.8948
12.35,6.9005
12.36,6.9067
12.37,6.9135
12.38,6.9208
12.39,6.9284
12.4,6.9363
12.41,6.9442
12.42,6.9521
12.43,6.9598
12.44,6.9672
12.45,6.9742
12.46,6.9807
12.47,6.987
12.48,6.9931
12.49,6.9991
12.5,7.0048
12.51,7.0105
12.52,7.0159
12.53,7.0213
12.54,7.0266
12.55,7.0319
12.56,7.0369
12.57,7.0418
12.58,7.0465
12.59,7.0511
12.6,7.0559
12.61,7.0608
12.62,7.0661
12.63,7.0717
12.64,7.0777
12.65,7.0845
12.66,7.092
12.67,7.1
12.68,7.1084
12.69,7.117
12.7,7.1255
12.71,7.1338
12.72,7.1417
12.73,7.149
12.74,7.1556
12.75,7.1614
12.76,7.1668
12.77,7.1719
12.78,7.1767
12.79,7.1815
12.8,7.1862
12.81,7.1912
12.82,7.1964
12.83,7.202
12.84,7.2082
12.85,7.2151
12.86,7.2224
12.87,7.2301
12.88,7.2379
12.89,7.2458
12.9,7.2536
12.91,7.2611
12.92,7.2681
12.93,7.2746
12.94,7.2805
12.95,7.2861
12.96,7.2914
12.97,7.2966
12.98,7.3017
12.99,7.3067
13,7.3118
13.01,7.3169
13.02,7.3222
13.03,7.3277
13.04,7.3333
13.05,7.3388
13.06,7.3443
13.07,7.3498
13.08,7.3554
13.09,7.3611
13.1,7.367
13.11,7.3731
13.12,7.3794
13.13,7.3862
13.14,7.3933
13.15,7.4008
13.16,7.4085
13.17,7.4163
13.18,7.424
13.19,7.4317
13.2,7.4392
13.21,7.4463
13.22,7.453
13.23,7.4594
13.24,7.4656
13.25,7.4716
13.26,7.4775
13.27,7.4834
13.28,7.4893
13.29,7.4952
13.3,7.5012
13.31,7.5074
13.32,7.5138
13.33,7.5204
13.34,7.5271
13.35,7.5339
13.36,7.5406
13.37,7.5473
13.38,7.5537
13.39,7.5599
13.4,7.5657
13.41,7.5712
13.42,7.5762
13.43,7.5808
13.44,7.5853
13.45,7.5896
13.46,7.5938
13.47,7.5982
13.48,7.6028
13.49,7.6076
13.5,7.6128
13.51,7.6184
13.52,7.6244
13.53,7.6308
13.54,7.6374
13.55,7.6441
13.56,7.651
13.57,7.6579
13.58,7.6649
13.59,7.6717
13.6,7.6785
